TreeRepresentative	ClusterID	GenomeID	Contig	ID	strand	start	end	DefenseSystem	Feature_type	gene	genomad_specificity_class	HMM_Annot_IDs	product_description	PlotLabel	fill
WP_002262809.1	VI	GCF_000228825.1	NZ_AGKJ01000047.1	WP_002262799.1	-	91055	92053	NA	CDS	NA	NA	PF00534;PF13439	glycosyltransferase	PF00534;PF13439	else
WP_002262809.1	VI	GCF_000228825.1	NZ_AGKJ01000047.1	WP_002263876.1	-	92173	93633	NA	CDS	NA	NA	PF00128;PF09154	alpha-amylase	PF00128;PF09154	else
WP_002262809.1	VI	GCF_000228825.1	NZ_AGKJ01000047.1	WP_002262797.1	-	93781	94782	NA	CDS	ccpA	NA	PF00356;PF13377	catabolite control protein A	ccpA	else
WP_006988414.1	III	GCF_000243235.1	NZ_JH594606.1	GILLI_RS06970	+	1163482	1164172	NA	CDS	NA	NA	NA	IS91 family transposase	IS91 family transposase	else
WP_006988414.1	III	GCF_000243235.1	NZ_JH594606.1	WP_006988399.1	-	1164455	1164883	NA	CDS	NA	NA	NA	hypothetical protein	hypothetical protein	else
WP_006988414.1	III	GCF_000243235.1	NZ_JH594606.1	WP_006988400.1	-	1164985	1165185	NA	CDS	NA	NA	PF01337	barstar family protein	PF01337	else
WP_006988414.1	III	GCF_000243235.1	NZ_JH594606.1	WP_006988401.1	-	1165259	1166383	NA	CDS	xerA	NA	PF00589;PF13495	site-specific tyrosine recombinase/integron integrase	xerA	integrase
WP_006988414.1	III	GCF_000243235.1	NZ_JH594606.1	WP_006988402.1	+	1166482	1166868	NA	CDS	NA	NA	NA	hypothetical protein	hypothetical protein	else
WP_006988414.1	III	GCF_000243235.1	NZ_JH594606.1	WP_006988404.1	+	1168644	1169000	NA	CDS	NA	NA	PF00436	single-stranded DNA-binding protein	PF00436	else
WP_006988414.1	III	GCF_000243235.1	NZ_JH594606.1	WP_006988405.1	+	1169080	1169529	NA	CDS	NA	NA	PF04002	JAB domain-containing protein	PF04002	else
WP_006988414.1	III	GCF_000243235.1	NZ_JH594606.1	WP_040506888.1	+	1169980	1170360	NA	CDS	NA	NA	NA	BfmA/BtgA family mobilization protein	BfmA/BtgA family mobilization protein	else
WP_006988414.1	III	GCF_000243235.1	NZ_JH594606.1	WP_006988407.1	+	1170372	1171403	NA	CDS	mobB	PP	PF18976	MobB family relaxase	mobB	plasmid
WP_006988414.1	III	GCF_000243235.1	NZ_JH594606.1	WP_040506480.1	+	1171413	1172996	NA	CDS	NA	NA	PF10412	type IV secretory system conjugative DNA transfer family protein	PF10412	else
WP_006988414.1	III	GCF_000243235.1	NZ_JH594606.1	WP_006988409.1	+	1173106	1173831	AbiE	CDS	NA	PC	PF19570;COG5340	AbiEi	AbiEi	AbiE
WP_006988414.1	III	GCF_000243235.1	NZ_JH594606.1	WP_006988410.1	+	1173831	1174811	AbiE	CDS	NA	NA	PF08843	AbiEii	AbiEii	AbiE
WP_006988414.1	III	GCF_000243235.1	NZ_JH594606.1	WP_006988411.1	+	1175326	1175529	NA	CDS	NA	NA	PF01381	helix-turn-helix domain-containing protein	PF01381	else
WP_006988414.1	III	GCF_000243235.1	NZ_JH594606.1	NA	+	1175602	1177134	DMS_other	NA	NA	NA	NA	MTase_I	MTase_I	DMS_other
WP_006988414.1	III	GCF_000243235.1	NZ_JH594606.1	WP_006988413.1	+	1177118	1178389	DMS_other	CDS	NA	NA	PF01420	Specificity_I	Specificity_I	DMS_other
WP_006988414.1	III	GCF_000243235.1	NZ_JH594606.1	WP_006988414.1	+	1178382	1182065	tmn	CDS	NA	NA	PF20693	Tmn	Tmn	tmn
WP_006988414.1	III	GCF_000243235.1	NZ_JH594606.1	WP_006988415.1	+	1182069	1182254	NA	CDS	NA	NA	NA	hypothetical protein	hypothetical protein	else
WP_006988414.1	III	GCF_000243235.1	NZ_JH594606.1	WP_245545611.1	+	1182364	1182663	NA	CDS	NA	NA	NA	hypothetical protein	hypothetical protein	else
WP_006988414.1	III	GCF_000243235.1	NZ_JH594606.1	WP_006988417.1	+	1182702	1184057	NA	CDS	NA	NA	PF04326;PF13749;PF21247	Fic family protein	PF04326;PF13749;PF21247	else
WP_006988414.1	III	GCF_000243235.1	NZ_JH594606.1	WP_006988418.1	+	1184054	1187194	NA	CDS	NA	NA	PF04313;PF11867;PF18766;PF22679	type I restriction endonuclease subunit R	PF04313;PF11867;PF18766;PF22679	else
WP_006988414.1	III	GCF_000243235.1	NZ_JH594606.1	WP_006987902.1	-	1187191	1187553	NA	CDS	NA	NA	NA	hypothetical protein	hypothetical protein	else
WP_006988414.1	III	GCF_000243235.1	NZ_JH594606.1	WP_006988419.1	-	1187561	1188415	NA	CDS	NA	PP	PF13595;TIGR03780	Bacteroides conjugative transposon TraN protein	PF13595	plasmid
WP_006988414.1	III	GCF_000243235.1	NZ_JH594606.1	WP_006988420.1	-	1188412	1189341	NA	CDS	traM	NA	PF12508	conjugative transposon protein TraM	traM	else
WP_006988414.1	III	GCF_000243235.1	NZ_JH594606.1	WP_006988421.1	-	1189463	1190077	NA	CDS	NA	NA	NA	hypothetical protein	hypothetical protein	else
WP_006988414.1	III	GCF_000243235.1	NZ_JH594606.1	WP_006988422.1	-	1190089	1190931	NA	CDS	NA	PP	TIGR03782	Bacteroides conjugative transposon TraJ protein	TIGR03782	plasmid
WP_006988414.1	III	GCF_000243235.1	NZ_JH594606.1	WP_006988423.1	-	1190934	1191566	NA	CDS	NA	PC	PF13605;K03200;TIGR02791;COG5314	P-type DNA transfer protein VirB5	PF13605;K03200;TIGR02791;COG5314	else
WP_006988414.1	III	GCF_000243235.1	NZ_JH594606.1	WP_006988424.1	-	1191578	1193977	NA	CDS	NA	NA	PF12991;PF19044	TraG family conjugative transposon ATPase	PF12991;PF19044	else
WP_006988414.1	III	GCF_000243235.1	NZ_JH594606.1	WP_040506484.1	-	1194251	1194538	NA	CDS	NA	PP	PF04956	hypothetical protein	hypothetical protein	plasmid
WP_006988414.1	III	GCF_000243235.1	NZ_JH594606.1	WP_006988427.1	-	1194910	1195451	NA	CDS	NA	NA	PF12991	DUF3875 domain-containing protein	PF12991	else
WP_006988414.1	III	GCF_000243235.1	NZ_JH594606.1	WP_040506484.1	-	1195725	1196012	NA	CDS	NA	PP	PF04956	hypothetical protein	hypothetical protein	plasmid
WP_006988414.1	III	GCF_000243235.1	NZ_JH594606.1	WP_006988428.1	+	1196202	1196870	NA	CDS	NA	NA	PF01520	N-acetylmuramoyl-L-alanine amidase family protein	PF01520	else
WP_010233406.1	IV	GCF_000246895.1	NZ_BAEV01000004.1	WP_010233390.1	+	1	1252	NA	CDS	NA	NA	PF01832	glucosaminidase domain-containing protein	PF01832	else
WP_010233406.1	IV	GCF_000246895.1	NZ_BAEV01000004.1	WP_010233391.1	+	1269	2045	NA	CDS	NA	NA	NA	hypothetical protein	hypothetical protein	else
WP_010233406.1	IV	GCF_000246895.1	NZ_BAEV01000004.1	WP_010233395.1	+	2061	2339	NA	CDS	NA	NA	NA	hypothetical protein	hypothetical protein	else
WP_010233406.1	IV	GCF_000246895.1	NZ_BAEV01000004.1	WP_010233398.1	+	2329	3819	NA	CDS	NA	NA	PF08401;PF18840	ArdC family protein	PF08401;PF18840	else
WP_010233406.1	IV	GCF_000246895.1	NZ_BAEV01000004.1	WP_010233400.1	+	3800	4009	NA	CDS	NA	NA	NA	hypothetical protein	hypothetical protein	else
WP_010233406.1	IV	GCF_000246895.1	NZ_BAEV01000004.1	WP_243441431.1	+	4558	5235	NA	CDS	NA	VC	PF08792;PF13643;COG1996	hypothetical protein	hypothetical protein	else
WP_010233406.1	IV	GCF_000246895.1	NZ_BAEV01000004.1	WP_010233406.1	+	5393	9157	tmn	CDS	NA	NA	PF20693	Tmn	Tmn	tmn
WP_010233406.1	IV	GCF_000246895.1	NZ_BAEV01000004.1	WP_010233407.1	+	9542	10138	NA	CDS	NA	NA	PF00239	recombinase family protein	PF00239	integrase
WP_010233406.1	IV	GCF_000246895.1	NZ_BAEV01000004.1	WP_010233408.1	+	10215	11996	RM_type_I	CDS	NA	NA	PF02384;PF12161	MTase_I	MTase_I	RM_type_I
WP_010233406.1	IV	GCF_000246895.1	NZ_BAEV01000004.1	WP_010233411.1	+	11989	13287	RM_type_I	CDS	NA	NA	PF01420	Specificity_I	Specificity_I	RM_type_I
WP_010233406.1	IV	GCF_000246895.1	NZ_BAEV01000004.1	WP_010233412.1	+	13289	16324	RM_type_I	CDS	NA	NA	PF04313;PF18766;PF22679	REase_I	REase_I	RM_type_I
WP_010233406.1	IV	GCF_000246895.1	NZ_BAEV01000004.1	WP_010233413.1	+	16340	16561	NA	CDS	NA	NA	PF02229	YdbC family protein	PF02229	else
WP_010233406.1	IV	GCF_000246895.1	NZ_BAEV01000004.1	WP_010233414.1	+	16734	17579	NA	CDS	NA	PC	NA	hypothetical protein	hypothetical protein	else
WP_010233406.1	IV	GCF_000246895.1	NZ_BAEV01000004.1	WP_010233415.1	+	17845	18423	NA	CDS	NA	NA	PF00589	site-specific integrase	PF00589	integrase
WP_010233406.1	IV	GCF_000246895.1	NZ_BAEV01000004.1	WP_010233416.1	+	18556	18978	NA	CDS	NA	NA	NA	hypothetical protein	hypothetical protein	else
WP_010233406.1	IV	GCF_000246895.1	NZ_BAEV01000004.1	WP_010233417.1	+	19132	20148	NA	CDS	NA	NA	PF13274	type II toxin-antitoxin system antitoxin SocA domain-containing protein	PF13274	else
WP_010233406.1	IV	GCF_000246895.1	NZ_BAEV01000004.1	WP_010233418.1	+	20400	20870	NA	CDS	NA	NA	NA	multiubiquitin domain-containing protein	multiubiquitin domain-containing protein	else
WP_010233406.1	IV	GCF_000246895.1	NZ_BAEV01000004.1	WP_010233419.1	+	20851	21222	NA	CDS	NA	PC	PF14462	Prokaryotic E2 family E	PF14462	else
WP_010233406.1	IV	GCF_000246895.1	NZ_BAEV01000004.1	WP_158511920.1	+	21230	22615	NA	CDS	NA	NA	PF00899	HesA/MoeB/ThiF family protein	PF00899	else
WP_010233406.1	IV	GCF_000246895.1	NZ_BAEV01000004.1	WP_010233421.1	+	22612	22947	NA	CDS	NA	NA	PF20137	DUF6527 family protein	PF20137	else
WP_010233406.1	IV	GCF_000246895.1	NZ_BAEV01000004.1	WP_010233422.1	+	23173	23376	NA	CDS	NA	NA	NA	hypothetical protein	hypothetical protein	else
WP_014584482.1	VI	GCF_000253095.1	NC_017521.1	WP_013447900.1	+	677216	678157	NA	CDS	NA	NA	PF00294	1-phosphofructokinase family hexose kinase	PF00294	else
WP_014584482.1	VI	GCF_000253095.1	NC_017521.1	WP_013447901.1	-	678125	678634	NA	CDS	NA	NA	PF21941	SMEK domain-containing protein	PF21941	else
WP_014584482.1	VI	GCF_000253095.1	NC_017521.1	WP_231833538.1	-	678736	679296	NA	CDS	NA	NA	PF13538	ATP-dependent DNA helicase	PF13538	else
WP_014584482.1	VI	GCF_000253095.1	NC_017521.1	WP_013447903.1	-	679480	679785	NA	CDS	NA	NA	NA	DUF2130 domain-containing protein	DUF2130 domain-containing protein	else
WP_014584482.1	VI	GCF_000253095.1	NC_017521.1	WP_014584479.1	-	679858	681042	NA	CDS	NA	NA	PF03382	BspA family leucine-rich repeat surface protein	PF03382	else
WP_014584482.1	VI	GCF_000253095.1	NC_017521.1	WP_081476334.1	-	680948	681505	NA	CDS	NA	NA	PF09903	DUF2130 domain-containing protein	PF09903	else
WP_014584482.1	VI	GCF_000253095.1	NC_017521.1	WP_013447906.1	-	681807	682016	NA	CDS	NA	NA	NA	hypothetical protein	hypothetical protein	else
WP_014584482.1	VI	GCF_000253095.1	NC_017521.1	WP_014584480.1	+	682341	684173	NA	CDS	NA	CP	PF17770;PF17770;PF19583;K12574;TIGR00649;COG0595	beta-CASP ribonuclease, RNase J family;Ribonuclease J C-terminal domain	PF00753;PF07521;PF17770;PF22505	else
WP_014584482.1	VI	GCF_000253095.1	NC_017521.1	WP_013447908.1	+	684252	685205	NA	CDS	NA	NA	NA	hypothetical protein	hypothetical protein	else
WP_014584482.1	VI	GCF_000253095.1	NC_017521.1	WP_013447909.1	+	686280	687677	NA	CDS	NA	NA	NA	hypothetical protein	hypothetical protein	else
WP_014584482.1	VI	GCF_000253095.1	NC_017521.1	WP_014584481.1	+	687790	688881	NA	CDS	NA	NA	PF03382	BspA family leucine-rich repeat surface protein	PF03382	else
WP_014584482.1	VI	GCF_000253095.1	NC_017521.1	MLEA_RS05380	+	689267	690640	NA	CDS	NA	NA	NA	transposase	transposase	else
WP_014584482.1	VI	GCF_000253095.1	NC_017521.1	WP_014584482.1	-	691030	694551	tmn	CDS	NA	NA	PF18860;PF20693	Tmn	Tmn	tmn
WP_014584482.1	VI	GCF_000253095.1	NC_017521.1	WP_014584483.1	+	694929	696680	NA	CDS	NA	NA	NA	MAG1210 family protein	MAG1210 family protein	else
WP_014584482.1	VI	GCF_000253095.1	NC_017521.1	WP_013447918.1	+	696693	697361	NA	CDS	NA	NA	PF04011	LemA family protein	PF04011	else
WP_014584482.1	VI	GCF_000253095.1	NC_017521.1	WP_014584484.1	+	697540	697803	NA	CDS	NA	NA	NA	lipoprotein	lipoprotein	else
WP_014584482.1	VI	GCF_000253095.1	NC_017521.1	WP_129619786.1	+	698514	698645	NA	CDS	NA	NA	PF13333	IS3 family transposase	PF13333	else
WP_014584482.1	VI	GCF_000253095.1	NC_017521.1	WP_014584485.1	+	698946	699233	NA	CDS	NA	NA	NA	lipoprotein	lipoprotein	else
WP_014584482.1	VI	GCF_000253095.1	NC_017521.1	WP_041362255.1	-	699309	700523	NA	CDS	NA	NA	PF00162	phosphoglycerate kinase	PF00162	else
WP_014584482.1	VI	GCF_000253095.1	NC_017521.1	WP_014584487.1	-	700647	701663	NA	CDS	gap	NA	PF00044;PF02800	type I glyceraldehyde-3-phosphate dehydrogenase	gap	else
WP_014584482.1	VI	GCF_000253095.1	NC_017521.1	WP_013447923.1	-	701756	702691	NA	CDS	NA	NA	PF01695	ATP-binding protein	PF01695	else
WP_014584482.1	VI	GCF_000253095.1	NC_017521.1	WP_013447924.1	-	702701	703882	NA	CDS	NA	NA	PF07261	DnaD domain protein	PF07261	else
WP_014584482.1	VI	GCF_000253095.1	NC_017521.1	WP_013447925.1	-	704039	704863	NA	CDS	mutM	NA	PF01149;PF06827;PF06831	DNA-formamidopyrimidine glycosylase	mutM	else
WP_014584482.1	VI	GCF_000253095.1	NC_017521.1	WP_013447926.1	-	704874	707609	NA	CDS	polA	VC	PF00476	DNA polymerase family A	polA	else
WP_014620137.1	VI	GCF_000270145.1	NC_017576.1	WP_014620126.1	+	1094173	1095855	NA	CDS	NA	NA	PF00746;PF08363	GbpC/Spa domain-containing protein	PF00746;PF08363	else
WP_014620137.1	VI	GCF_000270145.1	NC_017576.1	WP_014620127.1	+	1095966	1097291	NA	CDS	NA	NA	PF01554	MATE family efflux transporter	PF01554	else
WP_014620137.1	VI	GCF_000270145.1	NC_017576.1	WP_043910821.1	+	1097385	1097948	NA	CDS	NA	NA	NA	hypothetical protein	hypothetical protein	else
WP_014620137.1	VI	GCF_000270145.1	NC_017576.1	WP_014620129.1	-	1098058	1099044	NA	CDS	dhaQ	NA	PF02733	DhaKLM operon coactivator DhaQ	dhaQ	else
WP_014620137.1	VI	GCF_000270145.1	NC_017576.1	WP_013851805.1	-	1099054	1099590	NA	CDS	dhaS	NA	PF00440;PF14278	dihydroxyacetone kinase transcriptional activator DhaS	dhaS	else
WP_014620137.1	VI	GCF_000270145.1	NC_017576.1	WP_014620130.1	+	1099734	1100720	NA	CDS	dhaK	NA	PF02733	dihydroxyacetone kinase subunit DhaK	dhaK	else
WP_014620137.1	VI	GCF_000270145.1	NC_017576.1	WP_014620131.1	+	1100735	1101310	NA	CDS	dhaL	NA	PF02734	dihydroxyacetone kinase subunit DhaL	dhaL	else
WP_014620137.1	VI	GCF_000270145.1	NC_017576.1	WP_014620132.1	+	1101313	1101687	NA	CDS	dhaM	NA	PF03610	dihydroxyacetone kinase phosphoryl donor subunit DhaM	dhaM	else
WP_014620137.1	VI	GCF_000270145.1	NC_017576.1	WP_014620133.1	+	1101699	1102415	NA	CDS	NA	NA	PF00230	MIP/aquaporin family protein	PF00230	else
WP_014620137.1	VI	GCF_000270145.1	NC_017576.1	WP_014620134.1	+	1102728	1103402	NA	CDS	NA	NA	PF06414	zeta toxin family protein	PF06414	else
WP_014620137.1	VI	GCF_000270145.1	NC_017576.1	WP_014620135.1	+	1103395	1103556	NA	CDS	NA	NA	NA	hypothetical protein	hypothetical protein	else
WP_014620137.1	VI	GCF_000270145.1	NC_017576.1	WP_014620136.1	+	1103700	1105439	NA	CDS	NA	NA	PF01541;PF09848	DUF2075 domain-containing protein	PF01541;PF09848	else
WP_014620137.1	VI	GCF_000270145.1	NC_017576.1	WP_014620137.1	+	1105464	1109315	tmn	CDS	NA	NA	PF20693	Tmn	Tmn	tmn
WP_014620137.1	VI	GCF_000270145.1	NC_017576.1	WP_014620138.1	+	1109481	1110179	NA	CDS	NA	NA	PF00392;PF07702	GntR family transcriptional regulator	PF00392;PF07702	else
WP_014620137.1	VI	GCF_000270145.1	NC_017576.1	WP_014620139.1	+	1110198	1110377	NA	CDS	NA	VP	PF08792;COG2888;TIGR04104	Predicted RNA-binding protein involved in translation, contains  Zn-ribbon domain, DUF1610 family	PF08792;COG2888;TIGR04104	else
WP_014620137.1	VI	GCF_000270145.1	NC_017576.1	WP_231845028.1	-	1110616	1111275	NA	CDS	NA	NA	PF01418	MurR/RpiR family transcriptional regulator	PF01418	else
WP_014620137.1	VI	GCF_000270145.1	NC_017576.1	WP_014620140.1	+	1111445	1112428	NA	CDS	NA	NA	PF01408;PF22725	Gfo/Idh/MocA family protein	PF01408;PF22725	else
WP_014620137.1	VI	GCF_000270145.1	NC_017576.1	WP_014620141.1	+	1112433	1112957	NA	CDS	NA	NA	PF03928	heme-binding protein	PF03928	else
WP_014620137.1	VI	GCF_000270145.1	NC_017576.1	WP_014620142.1	+	1112978	1114036	NA	CDS	NA	NA	PF01408;PF22725	Gfo/Idh/MocA family oxidoreductase	PF01408;PF22725	else
WP_014620137.1	VI	GCF_000270145.1	NC_017576.1	WP_014620143.1	-	1114102	1114359	NA	CDS	NA	NA	PF06769	Txe/YoeB family addiction module toxin	PF06769	else
WP_014620137.1	VI	GCF_000270145.1	NC_017576.1	WP_012961966.1	-	1114352	1114618	NA	CDS	NA	NA	PF02604	type II toxin-antitoxin system Phd/YefM family antitoxin	PF02604	else
WP_014620137.1	VI	GCF_000270145.1	NC_017576.1	WP_009854181.1	+	1114782	1115114	NA	CDS	NA	VC	PF02650;K09787;TIGR03879;COG2739	probable regulatory domain	PF04297	else
WP_014620137.1	VI	GCF_000270145.1	NC_017576.1	WP_014620144.1	+	1115185	1116750	NA	CDS	ffh	CC;CV	PF02881;PF01591;K03106;TIGR00959;COG0541;PF02978	Signal peptide binding domain;signal recognition particle protein	ffh	else
WP_014620137.1	VI	GCF_000270145.1	NC_017576.1	WP_014620145.1	-	1116816	1117832	NA	CDS	NA	NA	PF12833	helix-turn-helix domain-containing protein	PF12833	else
WP_014620137.1	VI	GCF_000270145.1	NC_017576.1	WP_014620146.1	+	1118006	1119754	NA	CDS	NA	NA	PF00005;PF00664	ABC transporter ATP-binding protein	PF00005;PF00664	else
WP_014620137.1	VI	GCF_000270145.1	NC_017576.1	WP_003064732.1	+	1120067	1121137	NA	CDS	xerS	NA	PF00589;PF02899	tyrosine recombinase XerS	xerS	integrase
WP_014620137.1	VI	GCF_000270145.1	NC_017576.1	WP_009854191.1	-	1121243	1121923	NA	CDS	NA	NA	PF00717;PF01381	LexA family transcriptional regulator	PF00717;PF01381	else
WP_014620137.1	VI	GCF_000270145.1	NC_017576.1	WP_009854192.1	-	1122007	1122954	NA	CDS	NA	NA	PF02518	sensor histidine kinase	PF02518	else
WP_014620137.1	VI	GCF_000270145.1	NC_017576.1	WP_012961975.1	-	1122951	1123613	NA	CDS	NA	NA	PF00072;PF00486	response regulator transcription factor	PF00072;PF00486	else
WP_013977771.1	IV	GCF_000270305.1	NC_015737.1	WP_013977760.1	-	1971056	1972582	NA	CDS	NA	CC	NA	hypothetical protein	hypothetical protein	else
WP_013977771.1	IV	GCF_000270305.1	NC_015737.1	NA	-	1972670	1973673	DMS_other	NA	NA	NA	NA	WYL	WYL	DMS_other
WP_013977771.1	IV	GCF_000270305.1	NC_015737.1	WP_013977762.1	-	1973104	1974465	NA	CDS	NA	NA	PF03432	relaxase/mobilization nuclease domain-containing protein	PF03432	else
WP_013977771.1	IV	GCF_000270305.1	NC_015737.1	WP_041727813.1	+	1975061	1975279	NA	CDS	NA	NA	PF13443	helix-turn-helix transcriptional regulator	PF13443	else
WP_013977771.1	IV	GCF_000270305.1	NC_015737.1	WP_013977765.1	+	1975332	1975934	brex_type_I	CDS	NA	NA	PF08849	BrxA	BrxA	brex_type_I
WP_013977771.1	IV	GCF_000270305.1	NC_015737.1	WP_013977766.1	+	1976011	1976589	brex_type_I	CDS	NA	NA	PF08747	BrxB	BrxB	brex_type_I
WP_013977771.1	IV	GCF_000270305.1	NC_015737.1	WP_013977767.1	+	1976603	1980247	brex_type_I	CDS	brxC	NA	NA	BrxC	BrxC	brex_type_I
WP_013977771.1	IV	GCF_000270305.1	NC_015737.1	WP_013977768.1	+	1980259	1981098	PDC-S45	CDS	NA	NA	PF13365	PDC-S45	PDC-S45	else
WP_013977771.1	IV	GCF_000270305.1	NC_015737.1	WP_013977769.1	+	1981091	1984741	RM_type_IIG	CDS	pglX	NA	PF07669	REase_MTase_IIG	REase_MTase_IIG	RM_type_IIG
WP_013977771.1	IV	GCF_000270305.1	NC_015737.1	WP_013977769.1	+	1981091	1984741	brex_type_I	CDS	pglX	NA	PF07669	PglX	PglX	brex_type_I
WP_013977771.1	IV	GCF_000270305.1	NC_015737.1	WP_013977770.1	+	1984754	1985743	SoFic	CDS	NA	NA	PF02661	SoFic	SoFic	SoFic
WP_013977771.1	IV	GCF_000270305.1	NC_015737.1	WP_013977771.1	+	1985758	1989441	tmn	CDS	NA	NA	PF20693	Tmn	Tmn	tmn
WP_013977771.1	IV	GCF_000270305.1	NC_015737.1	WP_013977772.1	+	1989460	1992027	brex_type_I	CDS	pglZ	NA	PF08665	PglZ	PglZ	brex_type_I
WP_013977771.1	IV	GCF_000270305.1	NC_015737.1	WP_013977773.1	+	1992055	1994115	brex_type_I	CDS	brxL	NA	PF05362;PF13337;PF20442	BrxL	BrxL	brex_type_I
WP_013977771.1	IV	GCF_000270305.1	NC_015737.1	WP_158309838.1	+	1994144	1995184	Lamassu_Family	CDS	NA	PV	PF14130	LmuA	LmuA	Lamassu_Family
WP_013977771.1	IV	GCF_000270305.1	NC_015737.1	WP_013977775.1	+	1995168	1996850	Lamassu_Family	CDS	NA	NA	NA	LmuB	LmuB	Lamassu_Family
WP_013977771.1	IV	GCF_000270305.1	NC_015737.1	WP_013977776.1	+	1996852	1997187	NA	CDS	NA	NA	NA	hypothetical protein	hypothetical protein	else
WP_013977771.1	IV	GCF_000270305.1	NC_015737.1	WP_013977777.1	+	1997224	1997781	NA	CDS	NA	NA	PF01661	O-acetyl-ADP-ribose deacetylase	PF01661	else
WP_013977771.1	IV	GCF_000270305.1	NC_015737.1	WP_013977778.1	+	1997841	1998479	NA	CDS	NA	NA	PF08719	NADAR domain-containing protein	PF08719	else
WP_013977771.1	IV	GCF_000270305.1	NC_015737.1	WP_013977779.1	+	1998486	1998740	NA	CDS	NA	NA	NA	hypothetical protein	hypothetical protein	else
WP_013977771.1	IV	GCF_000270305.1	NC_015737.1	WP_013977780.1	+	1998740	1999660	RM_type_IV	CDS	NA	NA	PF04471;PF14338	mREase_IV	mREase_IV	RM_type_IV
WP_013977771.1	IV	GCF_000270305.1	NC_015737.1	WP_013977782.1	+	2000027	2000671	NA	CDS	NA	CP	PF04199;COG1878;TIGR03035;K07130	Kynurenine formamidase	PF04199	else
WP_013977771.1	IV	GCF_000270305.1	NC_015737.1	WP_013977783.1	+	2001187	2001960	NA	CDS	NA	CP;PC	PF07366;COG5485;TIGR02096;K15945;PF07366;PF10184;COG4922;TIGR02096;K06893;PF10184;COG4922;TIGR02096;K01822;PF20409;PF03284;COG4922;TIGR02096;K06893	Predicted ester cyclase;Predicted SnoaL-like aldol condensation-catalyzing enzyme	PF12680	else
WP_013977771.1	IV	GCF_000270305.1	NC_015737.1	WP_347475626.1	+	2001982	2002458	NA	CDS	NA	CP;PC	PF02082;K19587;TIGR02010;COG1959	iron-sulfur cluster assembly transcription factor IscR	PF02082	else
WP_013977771.1	IV	GCF_000270305.1	NC_015737.1	WP_013977785.1	+	2002516	2003136	NA	CDS	NA	CP	PF16242;COG3871;TIGR03667;K09979	General stress protein 26 (function unknown)	PF12838	else
WP_013977771.1	IV	GCF_000270305.1	NC_015737.1	WP_041728896.1	+	2003153	2003947	NA	CDS	NA	NA	PF01661	protein-ADP-ribose hydrolase	PF01661	else
WP_007478353.1	VIII	GCF_000273235.1	NZ_JH724307.1	WP_005924483.1	+	171084	171962	NA	CDS	NA	NA	PF01048	nucleoside phosphorylase	PF01048	else
WP_007478353.1	VIII	GCF_000273235.1	NZ_JH724307.1	WP_007478331.1	+	171962	172489	NA	CDS	NA	NA	PF00929	3'-5' exonuclease	PF00929	else
WP_007478353.1	VIII	GCF_000273235.1	NZ_JH724307.1	WP_007478333.1	-	172473	173123	NA	CDS	NA	CP;PC	PF01113;K07118;COG2910;TIGR03466	Putative NADH-flavin reductase	PF13460	else
WP_007478353.1	VIII	GCF_000273235.1	NZ_JH724307.1	WP_007478335.1	-	173206	175080	NA	CDS	NA	NA	PF00072;PF00512;PF02518;PF08447	PAS domain-containing hybrid sensor histidine kinase/response regulator	PF00072;PF00512;PF02518;PF08447	else
WP_007478353.1	VIII	GCF_000273235.1	NZ_JH724307.1	WP_007478337.1	+	175216	176613	NA	CDS	mnmE	NA	PF01926;PF10396;PF12631	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	mnmE	else
WP_007478353.1	VIII	GCF_000273235.1	NZ_JH724307.1	WP_007478339.1	+	176887	177765	NA	CDS	NA	NA	PF12728	helix-turn-helix domain-containing protein	PF12728	else
WP_007478353.1	VIII	GCF_000273235.1	NZ_JH724307.1	WP_005854353.1	+	177881	178993	NA	CDS	NA	NA	PF00589;PF13102;PF17293	tyrosine-type recombinase/integrase	PF00589;PF13102;PF17293	integrase
WP_007478353.1	VIII	GCF_000273235.1	NZ_JH724307.1	WP_005854352.1	+	179168	179989	NA	CDS	NA	NA	NA	hypothetical protein	hypothetical protein	else
WP_007478353.1	VIII	GCF_000273235.1	NZ_JH724307.1	WP_007478346.1	+	180091	180468	NA	CDS	NA	NA	PF12728	helix-turn-helix domain-containing protein	PF12728	else
WP_007478353.1	VIII	GCF_000273235.1	NZ_JH724307.1	WP_005854350.1	+	180471	181544	NA	CDS	NA	NA	PF13481	AAA family ATPase	PF13481	else
WP_007478353.1	VIII	GCF_000273235.1	NZ_JH724307.1	HMPREF1071_RS00680	-	182782	183081	PDC-S05	CDS	rhuM	NA	NA	PDC-S05	PDC-S05	else
WP_007478353.1	VIII	GCF_000273235.1	NZ_JH724307.1	WP_007478350.1	-	183127	183636	NA	CDS	NA	NA	PF03852	very short patch repair endonuclease	PF03852	else
WP_007478353.1	VIII	GCF_000273235.1	NZ_JH724307.1	WP_007478352.1	-	183652	185172	NA	CDS	NA	NA	PF04326;PF13749	ATP-binding protein	PF04326;PF13749	else
WP_007478353.1	VIII	GCF_000273235.1	NZ_JH724307.1	WP_007478353.1	-	185207	188512	tmn	CDS	NA	NA	PF20693	Tmn	Tmn	tmn
